Neighborhood,Latitude,Longitude,City,Region
"Agios Eleftherios, Athens",38.0200439,23.7317245,Athens,Attica
"Agios Panteleimonas, Athens",37.996564,23.7269571,Athens,Attica
Akadimia Platonos,37.9893568,23.7112166,Athens,Attica
"Akadimia, Athens",37.9804237,23.7347616,Athens,Attica
"Ampelokipi, Athens",37.9868929,23.7635354,Athens,Attica
Anafiotika,37.9723318,23.7282579,Athens,Attica
Ano Petralona,37.97046695,23.7129377997044,Athens,Attica
Asteroskopeio,37.9731246,23.7199851,Athens,Attica
"Attiki, Athens",37.9839412,23.7283052,Athens,Attica
Elaionas,37.9889925,23.6913036,Athens,Attica
Ellinoroson,37.9976828,23.7746661,Athens,Attica
"Evangelismos, Athens",39.8263561,22.5114151,Athens,Attica
Exarcheia,37.9866527,23.7348394,Athens,Attica
"Gazi, Athens",37.97481315,23.702751202560243,Athens,Attica
Goudi,34.9917512,32.44185,Athens,Attica
"Gouva, Athens",37.9316141,23.7697385,Athens,Attica
Gyzi,39.6432631,22.4136503,Athens,Attica
"Ilisia, Athens",37.975425,23.7545296,Athens,Attica
Kallimarmaro,37.9664604,23.7379877,Athens,Attica
"Kallimarmaro, Athens",37.9664604,23.7379877,Athens,Attica
Kerameikos,37.97863355,23.71822090937423,Athens,Attica
Kolokynthou,40.5042076,21.2113141,Athens,Attica
Kolonaki,37.9769749,23.7408135,Athens,Attica
Kolonos,37.9960693,23.7162206,Athens,Attica
Koukaki,37.9634559,23.7220234,Athens,Attica
Kountouriotika,37.9853355,23.7541956,Athens,Attica
"Kypseli, Athens",38.0028116,23.7422685,Athens,Attica
"Makrygianni, Athens",37.9687219,23.7295949,Athens,Attica
Metaxourgeio,37.9831504,23.718824,Athens,Attica
"Mets, Athens",37.964367949999996,23.73676865577891,Athens,Attica
"Monastiraki, Athens",37.9764307,23.7259053,Athens,Attica
Mount Lycabettus,37.9818906,23.7431912,Athens,Attica
Nea Filothei,38.0221347,23.7848706,Athens,Attica
"Neapoli, Athens",37.985326,23.741638,Athens,Attica
"Neos Kosmos, Athens",37.9569948,23.7270819,Athens,Attica
"Omonoia, Athens",37.9841825,23.7283018,Athens,Attica
Pangrati,37.9698825,23.7465995,Athens,Attica
Patisia,38.0238524,23.7360093,Athens,Attica
Pedion Areos,37.9937712,23.738001609513546,Athens,Attica
Petralona,38.6582821,21.6642182,Athens,Attica
Philopappou,37.9655356,23.7159797,Athens,Attica
Plaka,37.9728505,23.7300556,Athens,Attica
"Polygono, Athens",37.9974291,23.752672164978037,Athens,Attica
"Prompona, Athens",38.0306092,23.7392418,Athens,Attica
"Profitis Ilias, Athens",37.9656206,23.7496484,Athens,Attica
"Psirri, Athens",37.978742,23.7251703,Athens,Attica
"Rizoupoli, Athens",38.028201,23.740081,Athens,Attica
"Rouf, Athens",37.9783484,23.7121519,Athens,Attica
Sepolia,38.005786,23.712202,Athens,Attica
Skouze Hill,37.9386964,23.6451059,Athens,Attica
Thiseio,37.9767658,23.7203289,Athens,Attica
Treis Gefyres,38.0141499,23.7184505,Athens,Attica
Votanikos,37.98060475,23.70976907824509,Athens,Attica
